"AbilityDef_EWS_Ping.Description.Name";"EWS PING";"EWS PING";;
"AbilityDef_EWS_Ping.Description.Details";"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown.";"ACTION: Perform a Sensor Lock on all enemies within [FloatParam1] meters, and generates [FloatParam2] Heat for the user. There is a [ActivationCooldown] round cooldown.";;
"Ammo_FGAUSS.Description.UIName";"buck";"buck";;
"Ammo_FGAUSS.Description.Name";"Боеприпасы рельсотрона";"Боеприпасы рельсотрона";;
"Ammo_HGAUSS.Description.UIName";"slug";"slug";;
"Ammo_HGAUSS.Description.Name";"Боеприпасы рельсотрона";"Боеприпасы рельсотрона";;
"Ammunition_AC10.Description.UIName";"Norm.";"Norm.";;
"Ammunition_AC10.Description.Name";"AC/10 Ammo";"AC/10 Ammo";;
"Ammunition_AC10.Description.Details";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.";"Large caliber rounds capable of dealing heavy damage, and designed to be used in an AC/10.";;
"Ammunition_AC2.Description.UIName";"Norm.";"Norm.";;
"Ammunition_AC2.Description.Name";"AC/2 Ammo";"AC/2 Ammo";;
"Ammunition_AC2.Description.Details";"Small caliber ammunition designed for long range fire in an AC/2.";"Small caliber ammunition designed for long range fire in an AC/2.";;
"Ammunition_AC20.Description.UIName";"Norm.";"Norm.";;
"Ammunition_AC20.Description.Name";"AC/20 Ammo";"AC/20 Ammo";;
"Ammunition_AC20.Description.Details";"Massive rounds, designed for devastating impact, to be used in an AC/20.";"Massive rounds, designed for devastating impact, to be used in an AC/20.";;
"Ammunition_AC20AOE.Description.UIName";"Dmg";"Dmg";;
"Ammunition_AC20AOE.Description.Name";"AC/20 AOE Ammo";"AC/20 AOE Ammo";;
"Ammunition_AC20AOE.Description.Details";"Massive rounds, designed for maximum AOE impact damage, to be used in a mortar.";"Massive rounds, designed for maximum AOE impact damage, to be used in a mortar.";;
"Ammunition_AC20IAOE.Description.UIName";"Inferno";"Inferno";;
"Ammunition_AC20IAOE.Description.Name";"AC/20 AOE Inferno Ammo";"AC/20 AOE Inferno Ammo";;
"Ammunition_AC20IAOE.Description.Details";"Massive rounds, designed for devastating impact, to be used in an AC/20.";"Massive rounds, designed for devastating impact, to be used in an AC/20.";;
"Ammunition_AC20SMOKE.Description.UIName";"Smoke";"Smoke";;
"Ammunition_AC20SMOKE.Description.Name";"AC/20 AOE Smoke Ammo";"AC/20 AOE Smoke Ammo";;
"Ammunition_AC20SMOKE.Description.Details";"Massive rounds, designed for devastating impact, to be used in an AC/20.";"Massive rounds, designed for devastating impact, to be used in an AC/20.";;
"Ammunition_AC5.Description.UIName";"Norm.";"Norm.";;
"Ammunition_AC5.Description.Name";"AC/5 Ammo";"AC/5 Ammo";;
"Ammunition_AC5.Description.Details";"Moderate caliber rounds, suitable for long range fire in an AC/5.";"Moderate caliber rounds, suitable for long range fire in an AC/5.";;
"Ammunition_AMS.Description.UIName";"Norm.";"Norm.";;
